case_id,issue_type,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity
C001,VLAN,PC cannot ping another PC in the same VLAN,Two PCs are connected to SW1 ports Fa0/1 and Fa0/2,show vlan brief: VLAN 10 exists; Fa0/2 is assigned to VLAN 20,Wrong access VLAN on Fa0/2,Layer 2,VLAN,Medium
C002,VLAN,PC gets no network connectivity,PC is connected to SW1 Fa0/5,show vlan brief: VLAN 30 is not listed,Required VLAN is missing,Layer 2,VLAN,High
C003,Gateway,PC can reach local host but not router,PC address is 192.168.10.20/24,ipconfig: default gateway 192.168.20.1,Default gateway is in the wrong subnet,Layer 3,Default gateway,High
C004,Gateway,PC cannot communicate outside its subnet,PC belongs to VLAN 10; PC configured with gateway 192.168.10.254,show ip interface brief: G0/0.10 192.168.10.1 up/up,Incorrect gateway configured on PC,Layer 3,Default gateway,High
C005,DHCP,PC receives an APIPA address,Router provides DHCP for VLAN 10,show ip dhcp pool: excluded-address 192.168.10.1 192.168.10.254,DHCP pool has no available addresses,Layer 3,DHCP,High
C006,DHCP,PC receives an IP but cannot reach the gateway,DHCP server is on another network,show running-config: no ip helper-address on G0/0.20,DHCP relay configuration is missing,Layer 3,DHCP,High
C007,DNS,PC can ping 8.8.8.8 but cannot open websites,Internet connection is working,ipconfig /all: DNS Server . . . 0.0.0.0,DNS server is missing or incorrect,Layer 7,DNS,Medium
C008,DNS,Internal hostname does not resolve,Internal DNS server is 192.168.50.10,nslookup intranet.local: server can't find host,DNS record is missing,Layer 7,DNS,Medium
C009,Routing,PC can reach its gateway but not a remote LAN,Two routers connect LAN 10 and LAN 20,show ip route: no route to 192.168.20.0/24,Required route is missing,Layer 3,Routing,High
C010,Routing,Traffic takes the wrong path,Three routers use static routes,show ip route: 192.168.20.0/24 via incorrect next hop,Incorrect static route,Layer 3,Routing,High
C011,Routing,OSPF neighbor is not forming,Two routers are directly connected,show ip ospf neighbor: no neighbors; interfaces use different areas,OSPF area mismatch,Layer 3,OSPF,High
C012,Routing,OSPF route is absent,Router interfaces are active,show ip protocols: network 192.168.30.0 configured in wrong area,OSPF network statement is incorrect,Layer 3,OSPF,High
C013,ACL,PC can reach gateway but not web server,ACL is applied inbound on router interface,show access-lists: deny tcp any host 192.168.50.10 eq 80,ACL blocks HTTP traffic,Layer 4,ACL,High
C014,ACL,Only one department cannot access a server,Departments use separate subnets,show access-lists: deny ip 192.168.20.0 0.0.0.255 any,ACL blocks the department subnet,Layer 3,ACL,High
C015,ACL,Guest users can access internal servers,Guest VLAN should be isolated,show access-lists: no deny rule for guest subnet,Guest isolation rule is missing,Layer 3,ACL,Critical
C016,NAT,Internal users cannot access the internet,Router connects LAN to ISP,show ip nat translations: empty; show run: no ip nat inside,NAT inside configuration is missing,Layer 3,NAT,High
C017,NAT,Internet access works only for one host,Multiple inside hosts use private addresses,show run: ip nat inside source static 192.168.10.10 203.0.113.10,Only one static translation exists; PAT is missing,Layer 3,NAT,High
C018,NAT,Public server is unreachable from outside,Web server has a private address,show run: no ip nat inside source static for server,Port forwarding/static NAT is missing,Layer 3,NAT,High
C019,Interface,Users lose connectivity after cabling change,Access switch connects to router,show ip interface brief: G0/1 administratively down,Interface is shut down,Layer 1/2,Interface,High
C020,Interface,Link is down between switch and router,Trunk connection is required,show interfaces G0/1: line protocol is down,Cable or speed/duplex problem,Layer 1,Interface,High
C021,Trunk,Some VLANs work but VLAN 30 does not,Switch trunk connects to router,"show interfaces trunk: allowed VLANs 10,20; VLAN 30 absent",VLAN 30 is not allowed on trunk,Layer 2,Trunk,High
C022,Trunk,Inter-VLAN communication fails,Router-on-a-stick topology is used,show interfaces trunk: port is operating as access,Switch port is not configured as a trunk,Layer 2,Trunk,High
C023,Wireless,Wireless client cannot obtain an IP,Access point connects to a switch,show vlan brief: AP port is in VLAN 1 instead of VLAN 40,AP switch port is assigned to the wrong VLAN,Layer 2,Wireless,High
C024,Wireless,Guest Wi-Fi reaches corporate database,Guest wireless network must be isolated,show access-lists: no guest-to-corporate deny rule,Wireless guest isolation is missing,Layer 3,Wireless,Critical
C025,Subnet,Two devices cannot communicate despite correct VLAN,Devices are intended to share a subnet,PC1: 192.168.10.10/25; PC2: 192.168.10.130/25,Subnet masks place devices in different networks,Layer 3,Subnetting,High
C026,Subnet,Some hosts can communicate and others cannot,All hosts use VLAN 20,show ip interface: 192.168.20.1/24; PC uses /16,Incorrect subnet mask on PC,Layer 3,Subnetting,Medium
C027,Duplicate IP,Intermittent connectivity affects two PCs,Two PCs were manually configured,show arp: 192.168.10.25 has changing MAC addresses,Duplicate IP address detected,Layer 2/3,Addressing,High
C028,STP,Network becomes unstable after adding a switch,Redundant links exist between switches,show spanning-tree: repeated topology changes,Possible STP loop or incorrect redundancy,Layer 2,STP,Critical
C029,Port security,One PC cannot access the network,Port security is enabled,show port-security interface Fa0/8: secure-shutdown,Port violated port-security policy,Layer 2,Port security,High
C030,MTU,Large file transfers fail but ping works,Path includes a tunnel link,ping with large packet and DF bit fails,MTU or fragmentation issue,Layer 3,MTU,Medium
